variant_name,official_name
Antigua,Antigua & Barbuda
ArgentinaParaguay,Argentina
Victoria,Australia
New South Wales,Australia
Tasmania,Australia
Lord Howe Island,Australia
South Australia,Australia
Western Australia,Australia
Corrigin,Australia
Tasmania Australia,Australia
Australian Capital Territory,Australia
Pilbara region,Australia
Apsheron,Azerbaijan
Azores,Azores Islands
Azores Archipelago,Azores Islands
The Bahama Oriole Icterus northropi is a critically endangered synanthropic island endemic that now remains only on Andros Island The Bahamas Therefore the primary study location or the location of the focal species is The Bahamas,Bahamas
Wallonia,Belgium
Bosnia and Herzegovina,Bosnia & Herzegovina
Herzegovina,Bosnia & Herzegovina
British Columbia,Canada
Hart Mountains,Canada
Prince Edward Island,Canada
British Columbia Canada,Canada
Wood Buffalo National Park is located in Canada,Canada
Quebec,Canada
Nova Scotia Canada,Canada
Cape Verdes,Cape Verde
Grand Cayman,Cayman Islands
Easter Island,Chile
Rapa Nui,Chile
Hongtou Shan,China
Anhui Province China,China
Harbin China,China
Hainan,China
Hubei China,China
Guangdong,China
Shaanxi Province China,China
Huayingshan,China
Qinghai Tibetan Plateau QTP,China
South China,China
Tongchuan Shaanxi province China,China
Central China,China
Jiangxi Matoushan National Nature Reserve,China
Columbia,Colombia
Comoro Islands,Comoros
Bohemian Forest,Czech Republic
Republic of Congo,Democratic Republic of the Congo
Congo Basin,Democratic Republic of the Congo
Democratic Republic of Congo,Democratic Republic of the Congo
GalApagos Islands,Ecuador
Galapagos,Ecuador
Galapagos Islands,Ecuador
Floreana Island,Ecuador
Espanola Island,Ecuador
Falkland Islands,Falkland Islands (Malvinas)
Oland,Finland
Corsica,France
Moorea,French Polynesia
Tuamotu Archipelago,French Polynesia
French overseas territories,French Southern and Antarctic Territories
West Germany,Germany
East Germany GDR,Germany
East Germany,Germany
North RhineWestphalia,Germany
SchleswigHolstein,Germany
Bavaria,Germany
Central Germany,Germany
Brandenburg East Germany,Germany
Hispaniola,Haiti
Uttar Pradesh India,India
Himachal Pradesh,India
Andhra Pradesh,India
Sariska Tiger Reserve India,India
Uttarakhand,India
Jammu and Kashmir state,India
Sumatra,Indonesia
Jambi Sumatra,Indonesia
Borneo,Indonesia
Bali,Indonesia
Kerinci Seblat National Park,Indonesia
Java,Indonesia
Iran,Iran (Islamic Republic of)
Republic of Ireland,Ireland
Sicily,Italy
Pianosa Island,Italy
Sardinia,Italy
Okinawa,Japan
Kiritimati Christmas Island and Teraina Washington Islands in the Republic of Kiribati,Kiribati
Laos,Lao People's Democratic Republic
Terengganu,Malaysia
Sabah Malaysia,Malaysia
Peninsular Malaysia,Malaysia
Mascarene Island of Rodrigues,Mauritius
Socorro Island,Mexico
Federated States of Micronesia,Micronesia (Federated States of)
Midway Atoll,Midway Is.
Nepalese,Nepal
The Netherlands,Netherlands
The primary study location is the Netherlands,Netherlands
Korapuki Island Mercury Islands northeastern New Zealand,New Zealand
Chatham Island,New Zealand
Raoul Island,New Zealand
Commonwealth of the Northern Mariana Islands,Northern Mariana Islands
Sultanate of Oman,Oman
New Guinea,Papua New Guinea
Per,Peru
Philippine Eagle,Philippines
Pieniny National Park,Poland
Western Wielkopolska Poland,Poland
Szejkowice,Poland
Bialowieza Forest,Poland
South Korea,Republic of Korea
Korea,Republic of Korea
Korean peninsula,Republic of Korea
USSR,Russian Federation
Russia,Russian Federation
Kamchatka Russia,Russian Federation
Kalmykia,Russian Federation
Ussuri Nature Reserve,Russian Federation
Perm Territory,Russian Federation
Primorskii krai,Russian Federation
Russian Far East,Russian Federation
Primorsky Krai Russia,Russian Federation
Mari El Republic,Russian Federation
Mordovia,Russian Federation
St Lucia,Saint Lucia
Kingdom of Saudi Arabia,Saudi Arabia
Farasan archipelago,Saudi Arabia
Republic of Seychelles,Seychelles
Aldabra Atoll,Seychelles
VenetiaLimpopo Nature Reserve,South Africa
Mallorca,Spain
Spanish Pyrenees,Spain
Aragon,Spain
Iberian Peninsula,Spain
Basque Country,Spain
Canary Islands,Spain
Mediterranean Spain,Spain
Pyrenees,Spain
Iberia,Spain
Catalonia Spain,Spain
Pyrenees Mountains,Spain
Cabrera Island,Spain
Menorca Balearic Islands,Spain
Catalonia,Spain
Balearic Islands,Spain
Mallorca Balearic Islands,Spain
Gran Canaria,Spain
Valencia Spain,Spain
Asturias,Spain
Syria,Syrian Arab Republic
Republic of Macedonia,The former Yugoslav Republic of Macedonia
Trinidad,Trinidad and Tobago
United Kingdom,U.K. of Great Britain and Northern Ireland
England,U.K. of Great Britain and Northern Ireland
Britain,U.K. of Great Britain and Northern Ireland
Scotland,U.K. of Great Britain and Northern Ireland
Wales,U.K. of Great Britain and Northern Ireland
United Kingdom UK,U.K. of Great Britain and Northern Ireland
Ulva Island,U.K. of Great Britain and Northern Ireland
Great Britain and Ireland,U.K. of Great Britain and Northern Ireland
Northern Ireland,U.K. of Great Britain and Northern Ireland
Scottish Highlands,U.K. of Great Britain and Northern Ireland
Ascension Island,U.K. of Great Britain and Northern Ireland
Abu Dhabi Emirate,United Arab Emirates
Tanzania,United Republic of Tanzania
US Virgin Islands,United States Virgin Islands
United States,United States of America
Nevada USA,United States of America
Hawaii,United States of America
Idaho,United States of America
South Dakota,United States of America
Pearl and Hermes reef,United States of America
Iowa,United States of America
Idaho United States,United States of America
Wyoming,United States of America
Wisconsin,United States of America
Arizona,United States of America
Kentucky,United States of America
Yellowstone National Park United States,United States of America
Montana,United States of America
Michigan USA,United States of America
Hawaiian Islands,United States of America
Utah,United States of America
Tennessee,United States of America
USA,United States of America
Davidson North Carolina USA,United States of America
Hawaii United States,United States of America
Wyoming USA,United States of America
South Carolina,United States of America
Laysan Island,United States of America
Illinois,United States of America
Hawaiian archipelago,United States of America
Oregon United States,United States of America
Utah USA,United States of America
Konza Prairie Biological Station,United States of America
Hawaiian Archipelago,United States of America
Nebraska,United States of America
Hawaiian monk seal translocations mentioned in the abstract are conducted within the United States The primary study location or the location of the focal species is Hawaii,United States of America
Kauai,United States of America
Nevada,United States of America
Yellowstone National Park,United States of America
Louisiana,United States of America
Pacific Northwest USA,United States of America
Tennessee United States,United States of America
Oregon USA,United States of America
Pennsylvania USA,United States of America
South Vietnam,Vietnam
North America,
Arabian peninsula,
Central Europe,
Scandinavia,
Alps,
Balkan Peninsula,
Europe,
Mesoamerica,
Central America,
Central and western Europe,
Antarctic Treaty System,
Balkan area,
Arabian Peninsula,
BelarusUkraine borderlands,
Central European steppe grasslands,
Central Asia,
North African houbara bustards Chlamydotis undulata undulata,
Alpine foothills of central Europe,
Western Europe,
Macaronesia,
South America,
